year,month,age,pop,pop0,dead,date,persondays
1999,1,0,,,2351,1999-01,
1999,1,1,,,170,1999-01,
1999,1,2,,,120,1999-01,
1999,1,3,,,100,1999-01,
1999,1,4,,,79,1999-01,
1999,1,5,,,69,1999-01,
1999,1,6,,,56,1999-01,
1999,1,7,,,54,1999-01,
1999,1,8,,,44,1999-01,
1999,1,9,,,51,1999-01,
1999,1,10,,,49,1999-01,
1999,1,11,,,61,1999-01,
1999,1,12,,,52,1999-01,
1999,1,13,,,73,1999-01,
1999,1,14,,,89,1999-01,
1999,1,15,,,124,1999-01,
1999,1,16,,,187,1999-01,
1999,1,17,,,240,1999-01,
1999,1,18,,,269,1999-01,
1999,1,19,,,269,1999-01,
1999,1,20,,,267,1999-01,
1999,1,21,,,309,1999-01,
1999,1,22,,,275,1999-01,
1999,1,23,,,291,1999-01,
1999,1,24,,,271,1999-01,
1999,1,25,,,233,1999-01,
1999,1,26,,,245,1999-01,
1999,1,27,,,288,1999-01,
1999,1,28,,,305,1999-01,
1999,1,29,,,329,1999-01,
1999,1,30,,,346,1999-01,
1999,1,31,,,329,1999-01,
1999,1,32,,,397,1999-01,
1999,1,33,,,461,1999-01,
1999,1,34,,,480,1999-01,
1999,1,35,,,519,1999-01,
1999,1,36,,,575,1999-01,
1999,1,37,,,621,1999-01,
1999,1,38,,,712,1999-01,
1999,1,39,,,747,1999-01,
1999,1,40,,,787,1999-01,
1999,1,41,,,852,1999-01,
1999,1,42,,,879,1999-01,
1999,1,43,,,1011,1999-01,
1999,1,44,,,1043,1999-01,
1999,1,45,,,1111,1999-01,
1999,1,46,,,1195,1999-01,
1999,1,47,,,1155,1999-01,
1999,1,48,,,1246,1999-01,
1999,1,49,,,1287,1999-01,
1999,1,50,,,1449,1999-01,
1999,1,51,,,1508,1999-01,
1999,1,52,,,1536,1999-01,
1999,1,53,,,1452,1999-01,
1999,1,54,,,1638,1999-01,
1999,1,55,,,1772,1999-01,
1999,1,56,,,1856,1999-01,
1999,1,57,,,1913,1999-01,
1999,1,58,,,1938,1999-01,
1999,1,59,,,2112,1999-01,
1999,1,60,,,2154,1999-01,
1999,1,61,,,2353,1999-01,
1999,1,62,,,2450,1999-01,
1999,1,63,,,2692,1999-01,
1999,1,64,,,2938,1999-01,
1999,1,65,,,2941,1999-01,
1999,1,66,,,3301,1999-01,
1999,1,67,,,3331,1999-01,
1999,1,68,,,3789,1999-01,
1999,1,69,,,4061,1999-01,
1999,1,70,,,4376,1999-01,
1999,1,71,,,4768,1999-01,
1999,1,72,,,5040,1999-01,
1999,1,73,,,5402,1999-01,
1999,1,74,,,5629,1999-01,
1999,1,75,,,5994,1999-01,
1999,1,76,,,6155,1999-01,
1999,1,77,,,6605,1999-01,
1999,1,78,,,6740,1999-01,
1999,1,79,,,6609,1999-01,
1999,1,80,,,7141,1999-01,
1999,1,81,,,6815,1999-01,
1999,1,82,,,6926,1999-01,
1999,1,83,,,7091,1999-01,
1999,1,84,,,7135,1999-01,
1999,1,85,,,6949,1999-01,
1999,1,86,,,7157,1999-01,
1999,1,87,,,6623,1999-01,
1999,1,88,,,6173,1999-01,
1999,1,89,,,5847,1999-01,
1999,1,90,,,5518,1999-01,
1999,1,91,,,5016,1999-01,
1999,1,92,,,4201,1999-01,
1999,1,93,,,3815,1999-01,
1999,1,94,,,3164,1999-01,
1999,1,95,,,2670,1999-01,
1999,1,96,,,2146,1999-01,
1999,1,97,,,1541,1999-01,
1999,1,98,,,1332,1999-01,
1999,1,99,,,856,1999-01,
1999,1,100,,,1882,1999-01,
1999,2,0,,,2160,1999-02,
1999,2,1,,,158,1999-02,
1999,2,2,,,132,1999-02,
1999,2,3,,,95,1999-02,
1999,2,4,,,66,1999-02,
1999,2,5,,,75,1999-02,
1999,2,6,,,60,1999-02,
1999,2,7,,,45,1999-02,
1999,2,8,,,60,1999-02,
1999,2,9,,,54,1999-02,
1999,2,10,,,50,1999-02,
1999,2,11,,,58,1999-02,
1999,2,12,,,61,1999-02,
1999,2,13,,,64,1999-02,
1999,2,14,,,93,1999-02,
1999,2,15,,,128,1999-02,
1999,2,16,,,154,1999-02,
1999,2,17,,,190,1999-02,
1999,2,18,,,263,1999-02,
1999,2,19,,,231,1999-02,
1999,2,20,,,219,1999-02,
1999,2,21,,,234,1999-02,
1999,2,22,,,217,1999-02,
1999,2,23,,,253,1999-02,
1999,2,24,,,200,1999-02,
1999,2,25,,,214,1999-02,
1999,2,26,,,258,1999-02,
1999,2,27,,,261,1999-02,
1999,2,28,,,281,1999-02,
1999,2,29,,,289,1999-02,
1999,2,30,,,326,1999-02,
1999,2,31,,,325,1999-02,
1999,2,32,,,370,1999-02,
1999,2,33,,,406,1999-02,
1999,2,34,,,428,1999-02,
1999,2,35,,,471,1999-02,
1999,2,36,,,532,1999-02,
1999,2,37,,,598,1999-02,
