year,age,dead,cause
1999,0,84,MCD malignant neoplasms
1999,1,86,MCD malignant neoplasms
1999,2,109,MCD malignant neoplasms
1999,3,117,MCD malignant neoplasms
1999,4,128,MCD malignant neoplasms
1999,5,131,MCD malignant neoplasms
1999,6,118,MCD malignant neoplasms
1999,7,96,MCD malignant neoplasms
1999,8,100,MCD malignant neoplasms
1999,9,91,MCD malignant neoplasms
1999,10,102,MCD malignant neoplasms
1999,11,106,MCD malignant neoplasms
1999,12,102,MCD malignant neoplasms
1999,13,107,MCD malignant neoplasms
1999,14,108,MCD malignant neoplasms
1999,15,130,MCD malignant neoplasms
1999,16,165,MCD malignant neoplasms
1999,17,152,MCD malignant neoplasms
1999,18,157,MCD malignant neoplasms
1999,19,176,MCD malignant neoplasms
1999,20,228,MCD malignant neoplasms
1999,21,189,MCD malignant neoplasms
1999,22,196,MCD malignant neoplasms
1999,23,205,MCD malignant neoplasms
1999,24,204,MCD malignant neoplasms
1999,25,218,MCD malignant neoplasms
1999,26,283,MCD malignant neoplasms
1999,27,300,MCD malignant neoplasms
1999,28,334,MCD malignant neoplasms
1999,29,407,MCD malignant neoplasms
1999,30,399,MCD malignant neoplasms
1999,31,505,MCD malignant neoplasms
1999,32,564,MCD malignant neoplasms
1999,33,610,MCD malignant neoplasms
1999,34,788,MCD malignant neoplasms
1999,35,936,MCD malignant neoplasms
1999,36,1005,MCD malignant neoplasms
1999,37,1261,MCD malignant neoplasms
1999,38,1434,MCD malignant neoplasms
1999,39,1616,MCD malignant neoplasms
1999,40,1727,MCD malignant neoplasms
1999,41,2112,MCD malignant neoplasms
1999,42,2262,MCD malignant neoplasms
1999,43,2593,MCD malignant neoplasms
1999,44,2919,MCD malignant neoplasms
1999,45,3186,MCD malignant neoplasms
1999,46,3541,MCD malignant neoplasms
1999,47,3733,MCD malignant neoplasms
1999,48,4224,MCD malignant neoplasms
1999,49,4638,MCD malignant neoplasms
1999,50,5096,MCD malignant neoplasms
1999,51,5721,MCD malignant neoplasms
1999,52,6590,MCD malignant neoplasms
1999,53,5772,MCD malignant neoplasms
1999,54,6348,MCD malignant neoplasms
1999,55,7193,MCD malignant neoplasms
1999,56,8239,MCD malignant neoplasms
1999,57,8001,MCD malignant neoplasms
1999,58,8329,MCD malignant neoplasms
1999,59,8885,MCD malignant neoplasms
1999,60,9430,MCD malignant neoplasms
1999,61,10169,MCD malignant neoplasms
1999,62,10458,MCD malignant neoplasms
1999,63,11010,MCD malignant neoplasms
1999,64,12262,MCD malignant neoplasms
1999,65,12543,MCD malignant neoplasms
1999,66,13297,MCD malignant neoplasms
1999,67,13985,MCD malignant neoplasms
1999,68,15410,MCD malignant neoplasms
1999,69,16579,MCD malignant neoplasms
1999,70,16931,MCD malignant neoplasms
1999,71,18149,MCD malignant neoplasms
1999,72,19036,MCD malignant neoplasms
1999,73,19487,MCD malignant neoplasms
1999,74,19984,MCD malignant neoplasms
1999,75,20240,MCD malignant neoplasms
1999,76,20317,MCD malignant neoplasms
1999,77,20553,MCD malignant neoplasms
1999,78,20305,MCD malignant neoplasms
1999,79,19580,MCD malignant neoplasms
1999,80,18149,MCD malignant neoplasms
1999,81,17827,MCD malignant neoplasms
1999,82,16816,MCD malignant neoplasms
1999,83,16046,MCD malignant neoplasms
1999,84,15351,MCD malignant neoplasms
1999,85,14168,MCD malignant neoplasms
1999,86,13089,MCD malignant neoplasms
1999,87,11502,MCD malignant neoplasms
1999,88,10358,MCD malignant neoplasms
1999,89,8812,MCD malignant neoplasms
1999,90,7458,MCD malignant neoplasms
1999,91,6335,MCD malignant neoplasms
1999,92,5311,MCD malignant neoplasms
1999,93,4103,MCD malignant neoplasms
1999,94,3215,MCD malignant neoplasms
1999,95,2531,MCD malignant neoplasms
1999,96,1900,MCD malignant neoplasms
1999,97,1349,MCD malignant neoplasms
1999,98,916,MCD malignant neoplasms
1999,99,650,MCD malignant neoplasms
1999,100,1093,MCD malignant neoplasms
2000,0,111,MCD malignant neoplasms
2000,1,100,MCD malignant neoplasms
2000,2,109,MCD malignant neoplasms
2000,3,120,MCD malignant neoplasms
2000,4,116,MCD malignant neoplasms
2000,5,131,MCD malignant neoplasms
2000,6,103,MCD malignant neoplasms
2000,7,100,MCD malignant neoplasms
2000,8,94,MCD malignant neoplasms
2000,9,81,MCD malignant neoplasms
2000,10,97,MCD malignant neoplasms
2000,11,110,MCD malignant neoplasms
2000,12,111,MCD malignant neoplasms
2000,13,107,MCD malignant neoplasms
2000,14,121,MCD malignant neoplasms
2000,15,134,MCD malignant neoplasms
2000,16,144,MCD malignant neoplasms
2000,17,159,MCD malignant neoplasms
2000,18,161,MCD malignant neoplasms
2000,19,177,MCD malignant neoplasms
2000,20,185,MCD malignant neoplasms
2000,21,213,MCD malignant neoplasms
2000,22,194,MCD malignant neoplasms
2000,23,183,MCD malignant neoplasms
2000,24,230,MCD malignant neoplasms
2000,25,227,MCD malignant neoplasms
2000,26,246,MCD malignant neoplasms
2000,27,254,MCD malignant neoplasms
2000,28,308,MCD malignant neoplasms
2000,29,377,MCD malignant neoplasms
2000,30,382,MCD malignant neoplasms
2000,31,482,MCD malignant neoplasms
2000,32,539,MCD malignant neoplasms
2000,33,623,MCD malignant neoplasms
2000,34,652,MCD malignant neoplasms
2000,35,851,MCD malignant neoplasms
2000,36,965,MCD malignant neoplasms
2000,37,1128,MCD malignant neoplasms
2000,38,1357,MCD malignant neoplasms
2000,39,1494,MCD malignant neoplasms
2000,40,1726,MCD malignant neoplasms
2000,41,1957,MCD malignant neoplasms
2000,42,2213,MCD malignant neoplasms
2000,43,2648,MCD malignant neoplasms
2000,44,2828,MCD malignant neoplasms
2000,45,3248,MCD malignant neoplasms
2000,46,3498,MCD malignant neoplasms
2000,47,3802,MCD malignant neoplasms
2000,48,4289,MCD malignant neoplasms
2000,49,4662,MCD malignant neoplasms
2000,50,5173,MCD malignant neoplasms
2000,51,5487,MCD malignant neoplasms
2000,52,6328,MCD malignant neoplasms
2000,53,7045,MCD malignant neoplasms
2000,54,6388,MCD malignant neoplasms
2000,55,6872,MCD malignant neoplasms
2000,56,7690,MCD malignant neoplasms
2000,57,8629,MCD malignant neoplasms
2000,58,8542,MCD malignant neoplasms
2000,59,8940,MCD malignant neoplasms
2000,60,9391,MCD malignant neoplasms
2000,61,10028,MCD malignant neoplasms
2000,62,10641,MCD malignant neoplasms
2000,63,11083,MCD malignant neoplasms
2000,64,11892,MCD malignant neoplasms
2000,65,12751,MCD malignant neoplasms
2000,66,13140,MCD malignant neoplasms
2000,67,13971,MCD malignant neoplasms
2000,68,14900,MCD malignant neoplasms
2000,69,15961,MCD malignant neoplasms
2000,70,17052,MCD malignant neoplasms
2000,71,17580,MCD malignant neoplasms
2000,72,18673,MCD malignant neoplasms
2000,73,19375,MCD malignant neoplasms
2000,74,19486,MCD malignant neoplasms
2000,75,20434,MCD malignant neoplasms
2000,76,20599,MCD malignant neoplasms
2000,77,20241,MCD malignant neoplasms
2000,78,20219,MCD malignant neoplasms
2000,79,20107,MCD malignant neoplasms
2000,80,19342,MCD malignant neoplasms
2000,81,17744,MCD malignant neoplasms
2000,82,17359,MCD malignant neoplasms
2000,83,16158,MCD malignant neoplasms
2000,84,15397,MCD malignant neoplasms
2000,85,14373,MCD malignant neoplasms
2000,86,13170,MCD malignant neoplasms
2000,87,11926,MCD malignant neoplasms
2000,88,10474,MCD malignant neoplasms
2000,89,9121,MCD malignant neoplasms
2000,90,7591,MCD malignant neoplasms
2000,91,6410,MCD malignant neoplasms
2000,92,5573,MCD malignant neoplasms
2000,93,4224,MCD malignant neoplasms
2000,94,3475,MCD malignant neoplasms
2000,95,2599,MCD malignant neoplasms
2000,96,1895,MCD malignant neoplasms
2000,97,1423,MCD malignant neoplasms
2000,98,980,MCD malignant neoplasms
2000,99,648,MCD malignant neoplasms
2000,100,1087,MCD malignant neoplasms
2001,0,78,MCD malignant neoplasms
2001,1,83,MCD malignant neoplasms
2001,2,119,MCD malignant neoplasms
2001,3,133,MCD malignant neoplasms
2001,4,104,MCD malignant neoplasms
2001,5,99,MCD malignant neoplasms
2001,6,116,MCD malignant neoplasms
2001,7,97,MCD malignant neoplasms
2001,8,97,MCD malignant neoplasms
2001,9,98,MCD malignant neoplasms
2001,10,120,MCD malignant neoplasms
2001,11,92,MCD malignant neoplasms
2001,12,101,MCD malignant neoplasms
2001,13,108,MCD malignant neoplasms
2001,14,117,MCD malignant neoplasms
2001,15,126,MCD malignant neoplasms
2001,16,142,MCD malignant neoplasms
2001,17,136,MCD malignant neoplasms
2001,18,174,MCD malignant neoplasms
2001,19,189,MCD malignant neoplasms
2001,20,208,MCD malignant neoplasms
2001,21,196,MCD malignant neoplasms
2001,22,199,MCD malignant neoplasms
2001,23,195,MCD malignant neoplasms
2001,24,209,MCD malignant neoplasms
2001,25,230,MCD malignant neoplasms
2001,26,267,MCD malignant neoplasms
2001,27,278,MCD malignant neoplasms
2001,28,306,MCD malignant neoplasms
2001,29,368,MCD malignant neoplasms
2001,30,485,MCD malignant neoplasms
2001,31,453,MCD malignant neoplasms
2001,32,530,MCD malignant neoplasms
2001,33,608,MCD malignant neoplasms
2001,34,642,MCD malignant neoplasms
2001,35,832,MCD malignant neoplasms
2001,36,924,MCD malignant neoplasms
2001,37,1100,MCD malignant neoplasms
2001,38,1320,MCD malignant neoplasms
2001,39,1516,MCD malignant neoplasms
2001,40,1744,MCD malignant neoplasms
2001,41,1951,MCD malignant neoplasms
2001,42,2198,MCD malignant neoplasms
2001,43,2674,MCD malignant neoplasms
2001,44,2921,MCD malignant neoplasms
2001,45,3303,MCD malignant neoplasms
2001,46,3500,MCD malignant neoplasms
2001,47,4014,MCD malignant neoplasms
2001,48,4280,MCD malignant neoplasms
2001,49,4782,MCD malignant neoplasms
2001,50,5051,MCD malignant neoplasms
2001,51,5594,MCD malignant neoplasms
2001,52,6180,MCD malignant neoplasms
2001,53,7017,MCD malignant neoplasms
2001,54,7782,MCD malignant neoplasms
2001,55,6870,MCD malignant neoplasms
2001,56,7543,MCD malignant neoplasms
2001,57,8377,MCD malignant neoplasms
2001,58,9604,MCD malignant neoplasms
2001,59,9375,MCD malignant neoplasms
2001,60,9689,MCD malignant neoplasms
2001,61,9955,MCD malignant neoplasms
2001,62,10684,MCD malignant neoplasms
2001,63,11323,MCD malignant neoplasms
2001,64,11715,MCD malignant neoplasms
2001,65,12341,MCD malignant neoplasms
2001,66,13205,MCD malignant neoplasms
2001,67,13672,MCD malignant neoplasms
2001,68,14310,MCD malignant neoplasms
2001,69,15361,MCD malignant neoplasms
2001,70,16332,MCD malignant neoplasms
2001,71,17401,MCD malignant neoplasms
2001,72,18182,MCD malignant neoplasms
2001,73,19052,MCD malignant neoplasms
2001,74,19535,MCD malignant neoplasms
2001,75,19851,MCD malignant neoplasms
2001,76,20373,MCD malignant neoplasms
2001,77,20005,MCD malignant neoplasms
2001,78,19897,MCD malignant neoplasms
2001,79,20297,MCD malignant neoplasms
2001,80,19459,MCD malignant neoplasms
2001,81,18562,MCD malignant neoplasms
2001,82,17268,MCD malignant neoplasms
2001,83,16528,MCD malignant neoplasms
2001,84,15060,MCD malignant neoplasms
2001,85,14305,MCD malignant neoplasms
2001,86,13399,MCD malignant neoplasms
2001,87,12040,MCD malignant neoplasms
2001,88,10660,MCD malignant neoplasms
2001,89,9180,MCD malignant neoplasms
2001,90,7768,MCD malignant neoplasms
2001,91,6526,MCD malignant neoplasms
2001,92,5399,MCD malignant neoplasms
2001,93,4338,MCD malignant neoplasms
2001,94,3332,MCD malignant neoplasms
2001,95,2610,MCD malignant neoplasms
2001,96,2020,MCD malignant neoplasms
2001,97,1388,MCD malignant neoplasms
2001,98,981,MCD malignant neoplasms
2001,99,611,MCD malignant neoplasms
2001,100,1049,MCD malignant neoplasms
2002,0,85,MCD malignant neoplasms
2002,1,88,MCD malignant neoplasms
2002,2,100,MCD malignant neoplasms
2002,3,112,MCD malignant neoplasms
2002,4,118,MCD malignant neoplasms
2002,5,125,MCD malignant neoplasms
2002,6,105,MCD malignant neoplasms
2002,7,110,MCD malignant neoplasms
2002,8,98,MCD malignant neoplasms
2002,9,112,MCD malignant neoplasms
2002,10,108,MCD malignant neoplasms
2002,11,105,MCD malignant neoplasms
2002,12,109,MCD malignant neoplasms
2002,13,131,MCD malignant neoplasms
2002,14,119,MCD malignant neoplasms
2002,15,106,MCD malignant neoplasms
2002,16,148,MCD malignant neoplasms
2002,17,145,MCD malignant neoplasms
2002,18,174,MCD malignant neoplasms
2002,19,177,MCD malignant neoplasms
2002,20,191,MCD malignant neoplasms
2002,21,210,MCD malignant neoplasms
2002,22,208,MCD malignant neoplasms
2002,23,216,MCD malignant neoplasms
2002,24,218,MCD malignant neoplasms
2002,25,219,MCD malignant neoplasms
2002,26,219,MCD malignant neoplasms
2002,27,241,MCD malignant neoplasms
2002,28,295,MCD malignant neoplasms
2002,29,332,MCD malignant neoplasms
2002,30,433,MCD malignant neoplasms
2002,31,474,MCD malignant neoplasms
2002,32,567,MCD malignant neoplasms
2002,33,596,MCD malignant neoplasms
2002,34,633,MCD malignant neoplasms
2002,35,774,MCD malignant neoplasms
2002,36,869,MCD malignant neoplasms
2002,37,1004,MCD malignant neoplasms
2002,38,1204,MCD malignant neoplasms
2002,39,1495,MCD malignant neoplasms
2002,40,1673,MCD malignant neoplasms
2002,41,1910,MCD malignant neoplasms
2002,42,2224,MCD malignant neoplasms
2002,43,2575,MCD malignant neoplasms
2002,44,2932,MCD malignant neoplasms
2002,45,3265,MCD malignant neoplasms
2002,46,3582,MCD malignant neoplasms
2002,47,3958,MCD malignant neoplasms
2002,48,4415,MCD malignant neoplasms
2002,49,4791,MCD malignant neoplasms
2002,50,5246,MCD malignant neoplasms
2002,51,5746,MCD malignant neoplasms
2002,52,6230,MCD malignant neoplasms
2002,53,6839,MCD malignant neoplasms
2002,54,7479,MCD malignant neoplasms
2002,55,8654,MCD malignant neoplasms
2002,56,7482,MCD malignant neoplasms
2002,57,8049,MCD malignant neoplasms
2002,58,9058,MCD malignant neoplasms
2002,59,10226,MCD malignant neoplasms
2002,60,10196,MCD malignant neoplasms
2002,61,10389,MCD malignant neoplasms
2002,62,10844,MCD malignant neoplasms
2002,63,11350,MCD malignant neoplasms
2002,64,11996,MCD malignant neoplasms
2002,65,12289,MCD malignant neoplasms
2002,66,13047,MCD malignant neoplasms
2002,67,13846,MCD malignant neoplasms
2002,68,14006,MCD malignant neoplasms
2002,69,14890,MCD malignant neoplasms
2002,70,15977,MCD malignant neoplasms
2002,71,17027,MCD malignant neoplasms
2002,72,17836,MCD malignant neoplasms
2002,73,18227,MCD malignant neoplasms
2002,74,19468,MCD malignant neoplasms
2002,75,19799,MCD malignant neoplasms
2002,76,19745,MCD malignant neoplasms
2002,77,20423,MCD malignant neoplasms
2002,78,20116,MCD malignant neoplasms
2002,79,19907,MCD malignant neoplasms
2002,80,19633,MCD malignant neoplasms
2002,81,19251,MCD malignant neoplasms
2002,82,18292,MCD malignant neoplasms
2002,83,16224,MCD malignant neoplasms
2002,84,15711,MCD malignant neoplasms
2002,85,14373,MCD malignant neoplasms
2002,86,13507,MCD malignant neoplasms
2002,87,12179,MCD malignant neoplasms
2002,88,10735,MCD malignant neoplasms
2002,89,9436,MCD malignant neoplasms
2002,90,7890,MCD malignant neoplasms
2002,91,6520,MCD malignant neoplasms
2002,92,5588,MCD malignant neoplasms
2002,93,4502,MCD malignant neoplasms
2002,94,3604,MCD malignant neoplasms
2002,95,2605,MCD malignant neoplasms
2002,96,1956,MCD malignant neoplasms
2002,97,1444,MCD malignant neoplasms
2002,98,1028,MCD malignant neoplasms
2002,99,666,MCD malignant neoplasms
2002,100,1110,MCD malignant neoplasms
2003,0,85,MCD malignant neoplasms
2003,1,81,MCD malignant neoplasms
2003,2,105,MCD malignant neoplasms
2003,3,100,MCD malignant neoplasms
2003,4,123,MCD malignant neoplasms
2003,5,116,MCD malignant neoplasms
2003,6,110,MCD malignant neoplasms
2003,7,111,MCD malignant neoplasms
2003,8,87,MCD malignant neoplasms
2003,9,108,MCD malignant neoplasms
2003,10,125,MCD malignant neoplasms
2003,11,86,MCD malignant neoplasms
2003,12,100,MCD malignant neoplasms
2003,13,138,MCD malignant neoplasms
2003,14,127,MCD malignant neoplasms
2003,15,112,MCD malignant neoplasms
2003,16,149,MCD malignant neoplasms
2003,17,145,MCD malignant neoplasms
2003,18,155,MCD malignant neoplasms
2003,19,160,MCD malignant neoplasms
2003,20,171,MCD malignant neoplasms
2003,21,183,MCD malignant neoplasms
2003,22,204,MCD malignant neoplasms
2003,23,207,MCD malignant neoplasms
2003,24,241,MCD malignant neoplasms
2003,25,219,MCD malignant neoplasms
2003,26,259,MCD malignant neoplasms
2003,27,269,MCD malignant neoplasms
2003,28,294,MCD malignant neoplasms
2003,29,324,MCD malignant neoplasms
2003,30,366,MCD malignant neoplasms
2003,31,418,MCD malignant neoplasms
2003,32,500,MCD malignant neoplasms
2003,33,595,MCD malignant neoplasms
2003,34,645,MCD malignant neoplasms
2003,35,733,MCD malignant neoplasms
2003,36,839,MCD malignant neoplasms
2003,37,985,MCD malignant neoplasms
2003,38,1155,MCD malignant neoplasms
2003,39,1409,MCD malignant neoplasms
2003,40,1607,MCD malignant neoplasms
2003,41,1801,MCD malignant neoplasms
2003,42,2222,MCD malignant neoplasms
2003,43,2436,MCD malignant neoplasms
2003,44,2904,MCD malignant neoplasms
2003,45,3322,MCD malignant neoplasms
2003,46,3667,MCD malignant neoplasms
2003,47,4002,MCD malignant neoplasms
2003,48,4425,MCD malignant neoplasms
2003,49,4791,MCD malignant neoplasms
2003,50,5307,MCD malignant neoplasms
2003,51,5777,MCD malignant neoplasms
2003,52,6284,MCD malignant neoplasms
2003,53,6652,MCD malignant neoplasms
2003,54,7468,MCD malignant neoplasms
2003,55,8201,MCD malignant neoplasms
2003,56,9251,MCD malignant neoplasms
2003,57,8124,MCD malignant neoplasms
2003,58,8824,MCD malignant neoplasms
2003,59,9880,MCD malignant neoplasms
2003,60,10847,MCD malignant neoplasms
2003,61,10799,MCD malignant neoplasms
2003,62,11150,MCD malignant neoplasms
2003,63,11415,MCD malignant neoplasms
2003,64,12144,MCD malignant neoplasms
2003,65,12359,MCD malignant neoplasms
2003,66,12757,MCD malignant neoplasms
2003,67,13725,MCD malignant neoplasms
2003,68,14250,MCD malignant neoplasms
2003,69,14479,MCD malignant neoplasms
2003,70,15493,MCD malignant neoplasms
2003,71,16179,MCD malignant neoplasms
2003,72,17153,MCD malignant neoplasms
2003,73,18200,MCD malignant neoplasms
2003,74,18197,MCD malignant neoplasms
2003,75,19647,MCD malignant neoplasms
2003,76,19862,MCD malignant neoplasms
2003,77,19793,MCD malignant neoplasms
2003,78,20023,MCD malignant neoplasms
2003,79,19924,MCD malignant neoplasms
2003,80,19364,MCD malignant neoplasms
2003,81,19341,MCD malignant neoplasms
2003,82,18393,MCD malignant neoplasms
2003,83,17300,MCD malignant neoplasms
2003,84,15355,MCD malignant neoplasms
2003,85,14654,MCD malignant neoplasms
2003,86,13275,MCD malignant neoplasms
2003,87,12066,MCD malignant neoplasms
2003,88,10860,MCD malignant neoplasms
2003,89,9803,MCD malignant neoplasms
2003,90,8170,MCD malignant neoplasms
2003,91,6737,MCD malignant neoplasms
2003,92,5630,MCD malignant neoplasms
2003,93,4461,MCD malignant neoplasms
2003,94,3484,MCD malignant neoplasms
2003,95,2734,MCD malignant neoplasms
2003,96,1938,MCD malignant neoplasms
2003,97,1395,MCD malignant neoplasms
2003,98,965,MCD malignant neoplasms
2003,99,642,MCD malignant neoplasms
2003,100,1101,MCD malignant neoplasms
2004,0,91,MCD malignant neoplasms
2004,1,95,MCD malignant neoplasms
2004,2,91,MCD malignant neoplasms
2004,3,118,MCD malignant neoplasms
2004,4,113,MCD malignant neoplasms
2004,5,117,MCD malignant neoplasms
2004,6,100,MCD malignant neoplasms
2004,7,114,MCD malignant neoplasms
2004,8,107,MCD malignant neoplasms
2004,9,107,MCD malignant neoplasms
2004,10,92,MCD malignant neoplasms
2004,11,85,MCD malignant neoplasms
2004,12,111,MCD malignant neoplasms
2004,13,112,MCD malignant neoplasms
2004,14,128,MCD malignant neoplasms
2004,15,129,MCD malignant neoplasms
2004,16,146,MCD malignant neoplasms
2004,17,150,MCD malignant neoplasms
2004,18,162,MCD malignant neoplasms
2004,19,175,MCD malignant neoplasms
2004,20,164,MCD malignant neoplasms
2004,21,180,MCD malignant neoplasms
2004,22,220,MCD malignant neoplasms
2004,23,234,MCD malignant neoplasms
2004,24,224,MCD malignant neoplasms
2004,25,214,MCD malignant neoplasms
2004,26,254,MCD malignant neoplasms
2004,27,274,MCD malignant neoplasms
2004,28,267,MCD malignant neoplasms
2004,29,331,MCD malignant neoplasms
2004,30,347,MCD malignant neoplasms
2004,31,386,MCD malignant neoplasms
2004,32,537,MCD malignant neoplasms
2004,33,548,MCD malignant neoplasms
2004,34,608,MCD malignant neoplasms
2004,35,753,MCD malignant neoplasms
2004,36,767,MCD malignant neoplasms
2004,37,868,MCD malignant neoplasms
2004,38,1060,MCD malignant neoplasms
2004,39,1224,MCD malignant neoplasms
2004,40,1540,MCD malignant neoplasms
2004,41,1686,MCD malignant neoplasms
2004,42,2060,MCD malignant neoplasms
2004,43,2527,MCD malignant neoplasms
2004,44,2690,MCD malignant neoplasms
2004,45,3090,MCD malignant neoplasms
2004,46,3671,MCD malignant neoplasms
2004,47,3957,MCD malignant neoplasms
2004,48,4270,MCD malignant neoplasms
2004,49,4872,MCD malignant neoplasms
2004,50,5355,MCD malignant neoplasms
2004,51,5793,MCD malignant neoplasms
2004,52,6216,MCD malignant neoplasms
2004,53,6834,MCD malignant neoplasms
2004,54,7299,MCD malignant neoplasms
2004,55,8104,MCD malignant neoplasms
2004,56,8794,MCD malignant neoplasms
2004,57,10096,MCD malignant neoplasms
2004,58,8798,MCD malignant neoplasms
2004,59,9352,MCD malignant neoplasms
2004,60,10338,MCD malignant neoplasms
2004,61,11612,MCD malignant neoplasms
2004,62,11424,MCD malignant neoplasms
2004,63,11469,MCD malignant neoplasms
2004,64,12016,MCD malignant neoplasms
2004,65,12538,MCD malignant neoplasms
2004,66,13170,MCD malignant neoplasms
2004,67,13558,MCD malignant neoplasms
2004,68,13974,MCD malignant neoplasms
2004,69,14751,MCD malignant neoplasms
2004,70,15049,MCD malignant neoplasms
2004,71,15705,MCD malignant neoplasms
2004,72,16558,MCD malignant neoplasms
2004,73,17204,MCD malignant neoplasms
2004,74,18078,MCD malignant neoplasms
2004,75,18679,MCD malignant neoplasms
2004,76,19331,MCD malignant neoplasms
2004,77,19531,MCD malignant neoplasms
2004,78,19550,MCD malignant neoplasms
2004,79,19467,MCD malignant neoplasms
2004,80,19453,MCD malignant neoplasms
2004,81,18484,MCD malignant neoplasms
2004,82,18523,MCD malignant neoplasms
2004,83,17625,MCD malignant neoplasms
2004,84,16304,MCD malignant neoplasms
